dataset,model,decile,n_obs,predicted_mean,actual_mean,predicted_p50,actual_p50
cpg,GLMM-Oracle,9,2700,8.389542676043948,10.614563676134395,8.290962052077663,9.83878880507541
cpg,GLMM-Oracle,10,2700,16.01047251898042,22.630083319971934,12.906724522104223,16.574622889209593
saas,TreeMMM,1,2700,1.8565375683490488,1.9975208278905208,1.9091871335357118,1.971718056601084
saas,TreeMMM,2,2700,2.5123720501945357,2.513825522641443,2.5101388010023284,2.475753285543241
saas,TreeMMM,3,2697,3.028289845900219,3.0564656596100575,3.024611206163381,2.9790363928209005
saas,TreeMMM,4,2703,3.510259734177791,3.5090623384985595,3.5073838506538513,3.4388675084426703
saas,TreeMMM,5,2700,4.02109238956254,3.867364196388099,4.019703873852892,3.839489235518541
saas,TreeMMM,6,2700,4.652290903577312,4.487022885932619,4.652261096344905,4.455109835593358
saas,TreeMMM,7,2699,5.482523548539061,5.409722898324563,5.476714509621984,5.27766356065194
saas,TreeMMM,8,2701,6.556599491532607,6.506620626931852,6.53509213786301,6.351020983735182
saas,TreeMMM,9,2700,8.336973048166577,8.357717400259602,8.234941531723443,8.120357357262014
saas,TreeMMM,10,2700,15.395893515946675,16.136192138382007,12.915751471093284,13.553003176249414
saas,GLMM-Naive,1,2700,0.7390676766757582,2.5747328550796746,0.7680684602679063,2.4176806502623758
saas,GLMM-Naive,2,2699,1.3699431268212363,3.388105045271969,1.371555387880993,3.095922049234477
saas,GLMM-Naive,3,2701,1.8717808971256877,3.631094370985784,1.8736256806061071,3.120339273182172
saas,GLMM-Naive,4,2700,2.3237217907280203,3.848534022887338,2.319565382729793,3.2394832942344904
saas,GLMM-Naive,5,2699,2.7775352613216757,4.161870338253423,2.7773463548703057,3.548750825342165
saas,GLMM-Naive,6,2701,3.272921198681231,4.679943293911981,3.2664839057303707,4.010843922853889
saas,GLMM-Naive,7,2700,3.842302249729255,5.318799892717996,3.8363564903143987,4.559838473844172
saas,GLMM-Naive,8,2700,4.5873205113852435,6.236629361899791,4.568810676880714,5.487844533803336
