dataset,prior_scale,variable,share_mean,share_sd,share_ci5,share_ci95,coef_mean_z,coef_sd_z,coef_ci5_z,coef_ci95_z,n_divergences,min_ess_bulk,max_rhat,holdout_r2,holdout_wmape
cpg,2.0,digital_spend,0.2504372310525897,0.0025475176158286693,0.2463047711419515,0.2544193160020733,0.23504288782480084,0.002513231989790164,0.23096223399212235,0.23913122893112668,0,2203.0,1.0,0.3659857825470493,0.450983333899287
cpg,2.0,trade_promo,0.4921635854554378,0.0031403464308912554,0.48677529822027327,0.4972615704392062,0.45892294893348706,0.002501081530300224,0.45489753233031544,0.46305902001450705,0,2203.0,1.0,0.3659857825470493,0.450983333899287
cpg,2.0,instore_display,0.07584045794822485,0.002340873594077031,0.07202961544573505,0.0795725184794045,0.07854754867230732,0.002577916634129374,0.07431414898948398,0.08284449845746263,0,2203.0,1.0,0.3659857825470493,0.450983333899287
cpg,2.0,social_media,0.03191112290269625,0.0026347956482082446,0.027819908505462152,0.03645619047773593,0.03204332668863926,0.002617209321905285,0.0277725010621377,0.03634235192895494,0,2203.0,1.0,0.3659857825470493,0.450983333899287
saas,0.5,sdr_outreach,0.12789846942354532,0.002306538028917122,0.1238914955422194,0.13160842993130542,0.13665112983056799,0.0025855449466058323,0.132293864514241,0.14087238623987525,0,3312.0,1.0,0.3111297464637236,0.4757686584632601
saas,0.5,content_downloads,0.21179129782929584,0.00233106324000545,0.2082434254421474,0.21539362012702923,0.22374601744380695,0.002641049939713636,0.2195326313586285,0.22812679920005427,0,3312.0,1.0,0.3111297464637236,0.4757686584632601
saas,0.5,paid_search,0.07525132226837247,0.0022601519645653115,0.0714723148982332,0.07898643384106659,0.0810359855839464,0.0026474020790641585,0.07659756373121443,0.0853910302340623,0,3312.0,1.0,0.3111297464637236,0.4757686584632601
saas,0.5,event_attendance,0.3453757224629929,0.0026567761265445054,0.341003910288949,0.3500552580794282,0.35192019684297476,0.0026296090939563524,0.3475255896435754,0.3561649362115163,0,3312.0,1.0,0.3111297464637236,0.4757686584632601
saas,0.5,csm_meetings,0.23968318801579344,0.0019579714834484716,0.23648862240964616,0.24301142072895082,0.26766586266196385,0.002698031266750934,0.26329938607240494,0.2719507670618882,0,3312.0,1.0,0.3111297464637236,0.4757686584632601
saas,1.0,sdr_outreach,0.12808211867231806,0.0020467746817525332,0.12436316716276662,0.13130238376797482,0.13667460409000767,0.0025802951683298,0.1324401769728185,0.14081417530605814,0,3565.0,1.0,0.31108148223766297,0.47576594366843517
saas,1.0,content_downloads,0.2116590834100599,0.002284442472082064,0.20800400282652354,0.21539052947412884,0.2237975617913501,0.0026280236828729927,0.21944655432070764,0.2280356441714082,0,3565.0,1.0,0.31108148223766297,0.47576594366843517
